ticker
AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
META
BRK.B
TSLA
JPM
UNH
XOM
V
JNJ
WMT
LLY
AVGO
PG
MA
HD
COST
MRK
ABBV
PEP
KO
BAC
PFE
TMO
CSCO
ORCL
MCD
CVX
ACN
WFC
DHR
ADBE
NFLX
DIS
CRM
ABT
VZ
INTC
CMCSA
NKE
TXN
PM
LIN
RTX
AMD
LOW
UPS
NEE
BMY
COP
UNP
INTU
HON
AMGN
IBM
CAT
QCOM
GE
DE
SPGI
ELV
MDT
AXP
GS
BLK
ISRG
NOW
AMAT
SBUX
BKNG
LMT
PLD
ADP
CB
MMC
ZTS
MO
CI
SYK
GILD
TGT
ADI
BDX
REGN
CSX
C
DUK
VRTX
SO
SCHW
PNC
USB
TFC
ICE
ETN
AON
APD
ITW
NSC
EMR
SHW
CL
EOG
MPC
FDX
KDP
HCA
AIG
EW
GM
F
PSA
ROP
PH
MCO
PGR
MET
AFL
TRV
ALL
PRU
OXY
ROST
MS
KHC
CTAS
AEP
PAYX
TEL
DLR
STZ
HLT
EXC
CME
WELL
IQV
SPG
NEM
A
EA
TT
CDNS
SNPS
MNST
PCAR
ORLY
AZO
BIIB
HUM
VLO
CMG
KR
DLTR
IDXX
FAST
ODFL
CTSH
DOW
PEG
RSG
YUM
NOC
MAR
ANET
AMP
DFS
OTIS
AME
ED
WEC
MTD
VRSK
ILMN
KEYS
ON
KMB
PPG
FTNT
HPQ
WBD
GPN
FIS
FISV
EFX
ECL
ROK
AWK
TSCO
WBA
SWK
CPRT
APTV
LEN
CHTR
LYB
IR
VMC
GWW
URI
HES
MLM
DHI
AVB
ARE
CNC
ALB
BR
HOLX
WAT
EXR
STT
FITB
RF
HBAN
CFG
PFG
WRB
NTRS
TROW
COF
DAL
UAL
LUV
JBL
VFC
AAP
MOS
FMC
CE
AES
NRG
FE
ES
CMS
DTE
PPL
SRE
AEE
NI
ETR
LNT
EVRG
PNW
